Date,Time,Standard Tm,Tm-BME,Tm-NTC,Standard Hum,Hum-BME
2021.4.6,10.33,19.4,20.4,19.5,77,78
2021.4.6,12.01,19.1,20.39,19.54,76,77.38
2021.4.6,13.29,19.7,20.41,19.52,81,77.88
2021.4.6,14.55,19.3,20.42,19.62,72,77.57
2021.4.6,16.20,19.0,20.44,19.62,72,77.6
