Time(H.M.S),Temp_LM75/oC,Temp_BME680/oC,Temp_NTC/oC,Pressure/kPa,Humidity/%
00.00.17,23.96,23.78,23.99,101.44,39.07
00.00.55,23.96,23.74,23.90,101.44,39.10
00.01.29,23.96,23.71,23.82,101.44,38.64
00.02.03,23.96,23.69,23.82,101.44,38.79
00.02.37,23.96,23.66,23.75,101.44,38.91
00.03.10,23.96,23.63,23.76,101.44,38.92
00.03.44,23.96,23.61,23.71,101.44,39.08
00.04.18,23.96,23.58,23.73,101.44,39.24
00.04.52,23.96,23.56,23.66,101.44,38.97
00.05.32,23.96,23.53,23.64,101.44,38.56
00.06.06,23.96,23.50,23.55,101.44,37.80
00.06.39,23.96,23.48,23.55,101.44,38.17
00.07.18,23.96,23.45,23.54,101.44,38.20
00.07.52,23.96,23.43,23.45,101.44,38.72
00.08.32,23.96,23.41,23.48,101.44,39.26
00.09.06,23.96,23.39,23.38,101.44,39.70
00.09.40,23.96,23.37,23.33,101.44,40.42
00.10.13,23.96,23.34,23.29,101.44,39.19
00.10.47,23.96,23.32,23.29,101.44,40.43
00.11.21,23.96,23.29,23.26,101.44,40.24
00.11.54,23.96,23.27,23.17,101.44,41.29
00.12.28,23.96,23.24,23.15,101.44,39.79
00.13.16,23.96,23.20,23.05,101.44,39.88
00.13.50,23.46,23.19,23.08,101.44,40.38
09.12.09,23.46,33.78,31.04,101.50,27.81
09.12.43,23.46,33.90,31.10,101.50,27.74
09.13.17,23.46,33.90,31.08,101.49,27.64
09.13.51,23.46,33.90,31.10,101.50,27.57
09.14.25,23.46,33.90,31.08,101.49,27.49
09.14.59,23.46,33.90,31.10,101.49,27.58
09.15.33,23.46,33.91,31.08,101.50,27.56
09.16.07,23.46,33.90,31.13,101.49,27.49
09.16.41,23.46,33.90,31.08,101.49,27.20
09.17.14,23.46,33.91,31.19,101.49,27.20
09.17.48,23.46,33.89,31.13,101.49,27.37
09.18.22,23.46,33.90,31.21,101.49,27.17
09.18.56,23.46,33.89,31.19,101.49,27.33
09.19.31,23.46,33.89,31.13,101.49,27.44
09.20.04,23.46,33.88,31.17,101.49,27.51
09.20.38,23.96,33.88,31.19,101.49,27.56
09.21.13,23.96,33.87,31.15,101.49,27.24
09.21.52,23.96,33.87,31.17,101.49,27.35
09.22.32,23.96,33.86,31.17,101.49,27.08
09.23.06,23.96,33.85,31.15,101.49,27.28
09.23.39,23.96,33.84,31.19,101.49,27.32
09.24.13,23.96,33.84,31.21,101.49,27.06
09.24.47,23.96,33.84,31.21,101.49,26.48
09.25.21,23.96,33.83,31.17,101.49,26.39
