Time(H.M.S),Temp_LM75/oC,Temp_BME680/oC,Temp_NTC/oC,Pressure/kPa,Humidity/%
08.59.35,23.46,35.27,32.98,100.71,38.33
09.00.12,23.46,35.37,32.93,100.71,38.40
09.00.46,23.46,35.36,32.98,100.71,38.42
09.01.20,23.46,35.36,32.93,100.71,38.54
09.01.53,23.46,35.35,32.98,100.71,38.09
09.02.27,23.46,35.34,32.93,100.71,37.47
09.03.01,23.46,35.34,32.97,100.71,37.32
09.03.40,23.46,35.35,33.02,100.71,36.95
09.04.13,23.46,35.36,32.93,100.71,37.02
09.04.48,23.46,35.37,32.97,100.71,37.10
09.05.22,23.46,35.38,32.95,100.71,37.06
09.05.56,23.46,35.39,32.97,100.71,36.94
09.06.30,23.46,35.41,32.98,100.71,37.08
09.07.04,23.46,35.43,33.02,100.71,37.00
09.07.43,23.46,35.44,32.98,100.71,36.98
09.08.16,23.46,35.47,32.97,100.71,36.90
09.08.50,23.46,35.49,33.02,100.71,36.99
09.09.24,23.46,35.50,32.98,100.71,37.13
09.09.58,23.46,35.52,33.06,100.72,36.78
09.10.39,23.46,35.56,33.10,100.71,36.93
09.11.13,23.46,35.58,33.10,100.72,37.00
09.11.47,23.46,35.59,33.08,100.71,36.97
09.12.21,23.46,35.60,33.06,100.72,36.99
09.12.54,23.46,35.63,33.08,100.72,37.16
09.13.28,23.46,35.64,33.10,100.72,37.12
09.14.02,23.46,35.66,33.10,100.72,37.08
09.14.36,23.46,35.68,33.10,100.72,37.06
09.15.10,23.46,35.69,33.12,100.72,36.90
09.15.44,23.46,35.71,33.14,100.72,36.95
09.16.18,23.46,35.72,33.14,100.72,37.20
09.16.51,23.46,35.74,33.18,100.72,37.04
09.17.25,23.46,35.74,33.19,100.72,36.90
09.17.59,23.46,35.76,33.18,100.72,36.84
09.18.39,23.46,35.76,33.18,100.72,36.87
09.19.12,23.46,35.77,33.18,100.72,36.89
09.19.46,23.46,35.78,33.16,100.73,37.04
09.20.20,23.46,35.79,33.14,100.72,37.09
09.20.54,23.46,35.80,33.19,100.72,37.09
09.21.28,23.46,35.79,33.19,100.72,36.93
09.22.02,23.46,35.80,33.21,100.73,36.61
09.22.36,23.46,35.81,33.23,100.72,36.50
09.23.10,23.46,35.80,33.25,100.73,36.37
09.23.44,23.46,35.80,33.21,100.72,36.34
09.24.17,23.46,35.80,33.25,100.73,36.49
09.24.51,23.46,35.80,33.27,100.73,36.57
09.25.25,23.46,35.79,33.23,100.73,36.67
09.25.59,23.46,35.79,33.25,100.73,36.95
09.26.35,23.46,35.78,33.25,100.73,37.02
09.27.08,23.46,35.77,33.23,100.73,37.05
09.27.42,23.46,35.76,33.27,100.73,37.29
09.28.16,23.46,35.76,33.19,100.73,37.26
09.28.50,23.46,35.75,33.25,100.73,37.21
09.29.23,23.46,35.74,33.25,100.73,37.07
09.29.57,23.46,35.74,33.23,100.73,37.08
09.30.36,23.46,35.73,33.18,100.74,37.05
09.31.10,23.46,35.72,33.21,100.73,37.04
09.31.44,23.46,35.71,33.21,100.73,37.27
09.32.18,23.46,35.71,33.23,100.74,37.45
09.32.51,23.46,35.69,33.18,100.73,37.63
09.33.25,23.46,35.69,33.16,100.74,37.68
09.34.11,23.46,35.67,33.18,100.73,37.75
09.34.45,23.46,35.66,33.18,100.73,37.72
09.35.19,23.46,35.66,33.18,100.73,37.53
09.35.53,23.46,35.65,33.18,100.73,37.62
09.36.27,23.46,35.63,33.12,100.73,37.84
09.37.00,23.46,35.63,33.12,100.73,38.00
09.37.39,23.46,35.63,33.16,100.73,38.09
09.38.14,23.46,35.62,33.29,100.73,37.90
09.38.48,23.46,35.60,33.18,100.73,37.88
09.39.21,23.46,35.60,33.19,100.74,37.74
09.39.55,23.46,35.59,33.21,100.73,37.63
09.40.29,23.46,35.57,33.19,100.73,37.63
09.41.03,23.46,35.58,33.18,100.73,37.81
09.41.36,23.46,35.56,33.18,100.74,37.71
09.42.16,23.46,35.55,33.21,100.74,37.57
09.42.49,23.46,35.55,33.16,100.74,37.60
09.43.23,23.46,35.53,33.16,100.74,37.33
09.43.58,23.46,35.53,33.18,100.74,37.00
09.44.37,23.46,35.53,33.21,100.74,37.53
09.45.12,23.46,35.52,33.16,100.74,37.77
09.45.46,23.46,35.52,33.18,100.74,37.86
