Time(H.M.S),Temp_LM75/oC,Temp_BME680/oC,Temp_NTC/oC,Pressure/kPa,Humidity/%
09.10.19,23.96,32.66,29.75,101.60,29.00
09.10.55,23.96,32.83,29.87,101.59,28.93
09.11.30,23.96,32.86,29.87,101.60,29.02
09.12.04,23.96,32.89,29.91,101.59,29.19
09.12.38,23.96,32.91,29.95,101.59,29.06
09.13.11,23.96,32.92,29.91,101.59,29.13
09.13.45,23.96,32.94,30.00,101.60,29.01
09.14.19,23.96,32.95,29.97,101.59,29.07
09.14.52,23.96,32.96,29.97,101.60,29.23
09.15.31,23.96,32.98,30.04,101.60,29.21
09.16.05,23.96,32.98,30.02,101.60,29.49
09.16.38,23.96,32.98,30.06,101.60,29.87
09.17.12,23.96,32.99,30.11,101.59,29.52
09.17.46,23.96,32.99,30.11,101.60,29.23
09.18.20,23.96,32.99,30.08,101.60,28.03
09.18.53,23.96,32.99,30.08,101.59,28.42
09.19.32,23.96,32.98,30.17,101.59,28.06
09.20.06,23.96,32.98,30.17,101.59,27.53
09.20.40,23.96,32.99,30.15,101.60,27.84
09.21.14,23.96,32.98,30.21,101.59,27.91
09.21.47,23.96,32.97,30.17,101.59,28.08
09.22.21,23.96,32.96,30.19,101.59,27.87
09.22.55,23.96,32.95,30.28,101.59,27.47
09.23.35,23.96,32.94,30.21,101.59,27.10
09.24.09,23.96,32.93,30.19,101.59,27.29
09.24.42,23.96,32.93,30.24,101.59,27.25
09.25.16,23.96,32.92,30.26,101.59,27.42
09.25.50,23.96,32.92,30.26,101.59,27.25
09.26.24,23.96,32.90,30.26,101.59,27.36
09.26.58,23.96,32.89,30.26,101.59,26.79
09.27.32,23.96,32.88,30.22,101.59,26.92
09.28.06,23.96,32.87,30.28,101.59,27.20
09.28.39,23.96,32.85,30.28,101.59,26.98
09.29.13,23.96,32.86,30.28,101.59,26.80
09.29.47,23.96,32.85,30.32,101.59,26.78
09.30.21,23.96,32.85,30.28,101.59,26.76
09.30.55,23.96,32.85,30.28,101.59,27.02
09.31.35,23.96,32.83,30.34,101.59,26.96
09.32.09,23.96,32.82,30.34,101.59,26.63
09.32.43,23.96,32.82,30.34,101.59,26.63
09.33.17,23.96,32.81,30.32,101.59,26.46
09.33.51,24.46,32.80,30.26,101.59,26.59
