Time(H.M.S),Temp_LM75/oC,Temp_BME680/oC,Temp_NTC/oC,Pressure/kPa,Humidity/%
00.00.07,24.96,35.81,33.64,101.91,35.69
00.00.45,24.96,35.79,33.62,101.90,35.25
00.01.24,24.96,35.79,33.56,101.91,35.66
00.01.57,24.96,35.78,33.56,101.91,35.78
00.02.36,24.96,35.76,33.58,101.91,35.95
00.03.10,24.96,35.76,33.56,101.91,35.95
00.03.44,24.96,35.75,33.56,101.91,36.21
00.04.18,24.96,35.73,33.56,101.91,36.02
00.04.51,24.96,35.72,33.56,101.91,36.25
00.05.25,24.96,35.71,33.50,101.91,36.02
00.05.59,24.96,35.70,33.50,101.92,35.93
00.06.33,24.96,35.69,33.56,101.91,35.99
00.07.07,24.96,35.68,33.50,101.92,36.00
00.07.40,24.96,35.68,33.54,101.92,36.43
00.08.14,24.96,35.66,33.48,101.91,36.55
00.08.48,24.96,35.66,33.48,101.92,36.53
00.09.22,24.96,35.66,33.48,101.92,36.04
00.09.55,24.96,35.65,33.50,101.91,36.37
00.10.34,24.96,35.64,33.48,101.92,36.38
00.11.08,24.96,35.63,33.46,101.92,36.60
00.11.42,24.96,35.63,33.52,101.92,36.06
00.12.15,24.96,35.62,33.39,101.92,35.81
00.12.49,24.96,35.61,33.50,101.92,36.04
00.13.23,24.96,35.60,33.50,101.92,36.20
00.13.57,24.96,35.60,33.46,101.92,36.11
00.14.36,24.46,35.59,33.46,101.92,36.18
00.15.09,24.96,35.58,33.44,101.92,36.10
00.15.43,24.96,35.58,33.52,101.92,35.81
00.16.17,24.96,35.58,33.44,101.92,35.95
00.16.51,24.96,35.57,33.43,101.92,36.51
00.17.25,24.96,35.56,33.41,101.92,36.43
00.17.58,24.96,35.56,33.44,101.92,36.51
00.18.38,24.96,35.55,33.41,101.93,36.29
00.19.12,24.96,35.53,33.39,101.93,35.95
00.19.46,24.96,35.53,33.37,101.93,36.22
00.20.19,24.96,35.52,33.41,101.93,36.17
00.20.53,24.46,35.52,33.39,101.93,36.12
00.21.27,24.96,35.51,33.37,101.93,36.01
00.22.01,24.96,35.51,33.39,101.92,35.98
00.22.34,24.46,35.50,33.37,101.93,35.81
00.23.08,24.46,35.49,33.41,101.93,35.95
00.23.42,24.46,35.49,33.37,101.92,35.87
00.24.16,24.46,35.49,33.35,101.92,35.84
00.24.50,24.46,35.48,33.33,101.92,35.95
00.25.23,24.46,35.47,33.37,101.92,36.11
00.25.57,24.46,35.47,33.35,101.92,36.36
00.26.36,24.46,35.47,33.33,101.91,36.77
00.27.10,24.46,35.45,33.35,101.92,36.68
00.27.43,24.46,35.46,33.31,101.92,36.68
00.28.17,24.46,35.45,33.35,101.92,36.90
00.28.51,24.46,35.44,33.35,101.92,36.91
00.29.25,24.46,35.44,33.37,101.91,37.12
00.29.58,24.46,35.44,33.35,101.91,36.88
00.30.33,24.46,35.44,33.27,101.91,36.62
00.31.07,24.46,35.44,33.33,101.91,36.59
00.31.40,24.46,35.44,33.29,101.91,36.61
00.32.14,24.46,35.44,33.31,101.91,36.38
00.33.00,24.46,35.44,33.25,101.91,36.17
00.33.34,24.46,35.44,33.29,101.92,36.36
00.34.08,24.46,35.44,33.29,101.91,36.44
00.34.41,24.46,35.44,33.27,101.92,36.45
00.35.15,24.46,35.44,33.31,101.92,36.61
00.35.49,24.46,35.44,33.27,101.91,36.65
00.36.23,24.46,35.44,33.27,101.91,36.63
00.36.56,24.46,35.45,33.25,101.92,36.15
00.37.36,24.46,35.46,33.27,101.92,35.64
00.38.09,24.46,35.47,33.27,101.92,35.41
00.38.43,24.46,35.49,33.33,101.92,35.51
00.39.17,24.46,35.51,33.27,101.91,35.61
00.39.50,24.46,35.53,33.31,101.91,35.69
