Time(H.M.S),Temp_LM75/oC,Temp_BME680/oC,Temp_NTC/oC,Pressure/kPa,Humidity/%
00.00.17,22.96,23.53,23.45,99.93,75.00
00.00.59,22.96,23.51,23.40,99.93,75.04
00.01.33,22.96,23.49,23.43,99.92,75.04
00.02.07,22.96,23.48,23.42,99.93,75.02
00.02.41,22.96,23.47,23.38,99.93,75.04
00.03.15,22.96,23.45,23.38,99.93,75.08
00.03.49,22.96,23.43,23.36,99.93,75.09
00.04.22,22.46,23.42,23.26,99.93,75.11
00.04.57,22.96,23.40,23.31,99.93,75.14
00.05.31,22.96,23.39,23.33,99.93,75.15
00.06.04,22.46,23.39,23.28,99.94,75.15
00.06.44,22.46,23.37,23.31,99.94,75.16
00.07.18,22.96,23.36,23.29,99.94,75.24
00.07.52,22.96,23.35,23.28,99.94,75.24
00.08.25,22.96,23.33,23.17,99.94,75.24
00.08.59,22.96,23.32,23.17,99.94,75.30
00.09.33,22.96,23.31,23.17,99.94,75.29
00.10.07,22.96,23.31,23.21,99.94,75.32
00.10.41,22.96,23.28,23.24,99.94,75.32
00.11.15,22.96,23.28,23.14,99.94,75.34
00.11.49,22.96,23.26,23.15,99.94,75.34
00.12.22,22.96,23.25,23.12,99.94,75.32
00.12.56,22.46,23.24,23.12,99.94,75.34
00.13.44,22.96,23.22,23.14,99.94,75.35
00.14.18,22.46,23.21,23.10,99.94,75.35
00.14.52,22.46,23.19,23.08,99.93,75.37
00.15.26,22.96,23.19,23.10,99.93,75.37
00.15.59,22.46,23.17,23.05,99.93,75.39
00.16.33,22.46,23.16,23.03,99.94,75.39
00.17.07,22.96,23.15,23.03,99.94,75.38
00.17.41,22.46,23.13,22.93,99.94,75.41
00.18.14,22.46,23.13,23.03,99.94,75.41
00.18.48,22.46,23.12,22.98,99.93,75.41
00.19.22,22.46,23.11,22.96,99.93,75.42
00.20.01,22.46,23.09,22.96,99.93,75.45
00.20.36,22.46,23.09,22.94,99.93,75.45
00.21.10,22.46,23.08,22.93,99.93,75.45
00.21.44,22.96,23.06,22.94,99.93,75.45
00.22.18,22.46,23.07,22.91,99.93,75.47
00.22.52,22.46,23.04,22.81,99.93,75.50
00.23.26,22.46,23.03,22.91,99.93,75.52
00.24.00,22.46,23.03,22.88,99.93,75.51
00.24.34,22.46,23.02,22.88,99.93,75.53
00.25.07,22.46,23.01,22.84,99.93,75.50
00.25.41,22.46,23.00,22.88,99.93,75.55
00.26.15,22.46,22.99,22.82,99.93,75.54
00.26.49,22.46,22.98,22.77,99.93,75.51
00.27.23,22.46,22.97,22.79,99.93,75.53
00.27.56,22.46,22.97,22.81,99.93,75.54
00.28.30,22.46,22.96,22.77,99.93,75.54
00.29.04,22.46,22.95,22.77,99.93,75.58
00.29.40,22.46,22.95,22.75,99.93,75.61
00.30.14,22.46,22.94,22.77,99.93,75.62
00.30.47,22.46,22.93,22.74,99.93,75.65
00.31.21,22.46,22.93,22.72,99.93,75.66
00.31.55,22.46,22.93,22.70,99.92,75.66
00.32.29,22.46,22.93,22.72,99.92,75.70
00.33.02,22.46,22.93,22.70,99.92,75.70
00.33.42,22.46,22.93,22.63,99.92,75.72
00.34.16,22.46,22.93,22.67,99.92,75.72
00.34.49,22.46,22.93,22.67,99.92,75.68
00.35.23,22.46,22.94,22.68,99.92,75.60
00.35.57,22.46,22.93,22.68,99.92,75.41
00.36.31,22.46,22.92,22.68,99.92,75.02
00.37.05,22.46,22.92,22.70,99.92,74.73
00.37.44,22.46,22.92,22.68,99.92,74.25
00.38.18,22.46,22.91,22.60,99.91,73.94
00.38.52,22.46,22.92,22.63,99.92,73.62
00.39.26,22.46,22.92,22.63,99.92,73.40
00.39.59,22.46,22.93,22.61,99.92,73.17
00.40.33,22.46,22.93,22.60,99.91,72.95
00.41.07,22.46,22.93,22.63,99.91,72.77
00.41.41,22.46,22.95,22.60,99.91,72.64
00.42.15,22.46,22.94,22.60,99.91,72.48
00.42.49,22.46,22.95,22.61,99.91,72.34
00.43.22,22.46,22.96,22.60,99.91,72.19
00.43.56,22.46,22.96,22.53,99.91,72.02
00.44.30,22.46,22.96,22.58,99.91,71.98
00.45.04,22.46,22.97,22.63,99.90,71.99
00.45.43,22.46,22.98,22.60,99.91,72.07
00.46.17,22.46,22.98,22.61,99.91,72.18
00.46.51,22.46,22.98,22.58,99.90,72.24
00.47.25,22.46,22.99,22.63,99.90,72.30
00.48.07,22.46,22.98,22.60,99.91,72.46
00.48.41,22.46,22.98,22.61,99.90,72.57
00.49.15,22.46,22.98,22.56,99.90,72.74
00.49.49,22.46,22.97,22.60,99.90,72.84
00.50.23,22.46,22.97,22.58,99.90,72.96
00.50.56,22.46,22.96,22.61,99.90,73.08
00.51.30,22.46,22.95,22.56,99.91,73.13
00.52.04,22.46,22.94,22.56,99.90,73.14
00.52.43,22.46,22.94,22.51,99.90,73.07
00.53.17,22.46,22.92,22.49,99.89,72.98
00.53.51,22.46,22.91,22.53,99.90,72.88
00.54.25,22.46,22.89,22.53,99.91,72.79
00.54.59,22.46,22.87,22.51,99.90,72.71
00.55.33,22.46,22.86,22.53,99.90,72.56
00.56.06,22.46,22.85,22.51,99.90,72.42
00.56.40,22.46,22.83,22.48,99.90,72.26
00.57.14,22.46,22.82,22.41,99.91,72.16
00.57.48,22.46,22.80,22.41,99.91,72.11
00.58.22,22.46,22.78,22.41,99.91,72.07
00.58.55,22.46,22.78,22.48,99.90,72.10
00.59.29,22.46,22.77,22.39,99.91,72.13
01.00.03,22.46,22.76,22.41,99.91,72.17
01.00.42,22.46,22.75,22.37,99.91,72.24
01.01.16,22.46,22.74,22.41,99.91,72.27
01.01.50,22.46,22.73,22.37,99.90,72.31
01.02.24,22.46,22.72,22.34,99.90,72.40
01.02.57,22.46,22.71,22.30,99.90,72.45
01.03.31,22.46,22.70,22.35,99.90,72.52
01.04.05,22.46,22.69,22.34,99.90,72.57
01.04.44,22.46,22.68,22.30,99.90,72.64
01.05.18,22.46,22.68,22.27,99.90,72.67
01.05.52,22.46,22.67,22.32,99.89,72.71
01.06.26,22.46,22.66,22.32,99.89,72.77
01.06.59,22.46,22.65,22.27,99.89,72.80
01.07.33,22.46,22.63,22.23,99.89,72.84
01.08.07,22.46,22.62,22.23,99.89,72.90
01.08.41,22.46,22.62,22.28,99.88,72.95
01.09.15,22.46,22.60,22.27,99.89,72.95
01.09.49,22.46,22.60,22.25,99.89,72.97
01.10.22,22.46,22.59,22.25,99.88,72.98
01.10.56,22.46,22.58,22.25,99.89,73.01
01.11.30,22.46,22.57,22.25,99.89,73.02
01.12.04,22.46,22.55,22.18,99.88,73.05
01.12.43,22.46,22.56,22.16,99.88,73.08
01.13.17,22.46,22.53,22.16,99.88,73.10
01.13.51,22.46,22.53,22.23,99.88,73.13
01.14.24,22.46,22.52,22.15,99.88,73.19
01.14.58,22.46,22.51,22.13,99.88,73.22
01.15.32,22.46,22.50,22.16,99.88,73.27
01.16.06,22.46,22.50,22.16,99.88,73.28
01.16.40,22.46,22.49,22.15,99.88,73.32
01.17.14,22.46,22.48,22.08,99.88,73.32
01.17.48,22.46,22.48,22.15,99.88,73.34
01.18.22,22.46,22.47,22.08,99.88,73.38
01.18.55,22.46,22.47,22.06,99.88,73.41
01.19.29,22.46,22.45,22.08,99.87,73.42
01.20.03,22.46,22.45,22.08,99.88,73.44
01.20.39,22.46,22.44,22.08,99.88,73.43
01.21.13,22.46,22.43,22.09,99.88,73.46
01.21.47,22.46,22.43,22.02,99.87,73.45
01.22.29,22.46,22.41,22.04,99.87,73.42
01.23.03,22.46,22.41,22.02,99.87,73.38
01.23.43,22.46,22.40,21.99,99.87,73.36
01.24.17,22.46,22.39,21.97,99.87,73.32
01.24.51,22.46,22.38,22.06,99.87,73.33
01.25.24,22.46,22.37,21.99,99.86,73.29
01.25.58,22.46,22.38,22.01,99.86,73.32
01.26.32,22.46,22.36,21.99,99.86,73.31
01.27.11,22.46,22.35,21.99,99.87,73.26
01.27.45,22.46,22.34,21.96,99.86,73.25
01.28.19,22.46,22.33,21.97,99.86,73.23
01.28.53,22.46,22.32,21.99,99.86,73.22
01.29.26,22.46,22.32,21.99,99.86,73.19
01.30.00,22.46,22.31,21.90,99.85,73.20
01.30.34,22.46,22.30,21.94,99.86,73.21
01.31.08,22.46,22.29,21.89,99.86,73.23
01.31.42,22.46,22.29,21.83,99.85,73.25
01.32.16,22.46,22.28,21.90,99.86,73.29
01.32.50,22.46,22.28,21.89,99.85,73.32
