Time(H.M.S),Temp_LM75/oC,Temp_BME680/oC,Temp_NTC/oC,Pressure/kPa,Humidity/%
00.00.07,27.56,28.67,28.40,100.74,39.31
00.00.46,27.56,28.61,28.40,100.74,39.24
00.01.50,27.56,28.52,28.25,100.74,39.11
00.02.31,27.56,28.44,28.16,100.74,38.84
00.03.11,27.56,28.38,28.14,100.73,39.11
00.03.45,27.56,28.33,28.05,100.74,39.13
00.04.18,27.56,28.30,28.05,100.74,39.46
00.04.53,27.56,28.24,27.98,100.74,39.06
00.05.27,27.56,28.19,27.93,100.74,39.26
00.06.00,27.56,28.16,27.89,100.74,39.27
00.06.34,27.56,28.10,27.86,100.74,38.92
00.07.16,27.56,28.04,27.82,100.74,39.06
00.07.51,27.56,28.00,27.77,100.73,38.79
00.08.25,27.56,27.96,27.75,100.73,39.09
00.08.59,27.56,27.92,27.69,100.74,39.14
00.09.33,27.56,27.90,27.64,100.74,39.47
00.10.06,27.56,27.87,27.64,100.74,39.42
00.10.40,27.56,27.83,27.53,100.74,39.23
00.11.14,27.56,27.80,27.53,100.73,39.34
00.11.47,27.56,27.77,27.53,100.74,39.32
00.12.21,27.56,27.73,27.48,100.73,39.38
00.12.57,27.56,27.70,27.44,100.73,39.52
00.13.32,27.56,27.66,27.41,100.73,39.45
00.14.07,27.56,27.63,27.32,100.73,39.56
00.14.40,27.56,27.61,27.32,100.73,39.61
00.15.14,27.56,27.58,27.28,100.73,39.41
00.15.48,27.56,27.54,27.21,100.73,39.13
00.16.22,27.56,27.51,27.19,100.73,39.08
00.16.56,27.56,27.48,27.17,100.74,39.08
00.17.30,27.56,27.45,27.19,100.74,38.86
00.18.11,27.56,27.41,27.12,100.73,38.98
00.18.45,27.56,27.38,27.05,100.73,38.92
00.19.18,27.56,27.33,27.08,100.73,38.60
00.19.53,27.56,27.32,27.03,100.73,38.89
00.20.27,27.56,27.29,27.01,100.73,38.88
00.21.01,27.56,27.26,26.99,100.73,39.02
00.21.36,27.56,27.24,26.92,100.73,38.84
00.22.09,27.56,27.22,26.91,100.73,39.22
00.22.43,27.56,27.20,26.91,100.74,39.17
00.23.17,27.56,27.16,26.87,100.73,39.03
00.23.52,27.56,27.14,26.83,100.73,39.00
00.24.26,27.56,27.12,26.82,100.74,39.11
00.25.00,27.56,27.09,26.78,100.73,39.04
00.25.34,27.56,27.05,26.73,100.74,38.87
00.26.08,27.56,27.04,26.71,100.73,38.99
00.26.42,27.56,27.03,26.67,100.73,39.02
00.27.15,27.06,27.00,26.71,100.73,38.88
00.27.49,27.56,26.99,26.67,100.73,39.16
00.28.23,27.56,26.97,26.66,100.73,39.16
00.28.57,27.06,26.94,26.62,100.73,39.06
00.29.31,27.56,26.93,26.64,100.73,39.11
00.30.04,27.56,26.91,26.53,100.73,39.05
00.30.43,27.06,26.88,26.55,100.74,39.22
00.31.17,27.06,26.87,26.55,100.73,39.00
