Time(H.M.S),Temp_LM75/oC,Temp_BME680/oC,Temp_NTC/oC,Pressure/kPa,Humidity/%
00.00.29,21.96,29.64,26.55,100.86,68.96
00.01.07,21.96,29.65,26.57,100.86,68.99
00.01.40,21.96,29.67,26.58,100.85,68.89
00.02.14,21.96,29.69,26.57,100.85,69.02
00.02.48,21.96,29.70,26.57,100.85,68.95
00.03.22,21.96,29.73,26.64,100.86,69.49
00.03.55,21.96,29.75,26.67,100.85,70.04
00.04.29,21.96,29.78,26.64,100.85,70.15
00.05.14,21.96,29.80,26.64,100.85,69.44
00.05.48,21.96,29.83,26.64,100.85,69.68
00.06.21,21.96,29.86,26.62,100.85,70.16
00.06.55,21.96,29.88,26.69,100.85,70.27
00.07.29,21.96,29.90,26.69,100.85,70.39
00.08.03,21.96,29.93,26.71,100.85,70.58
00.08.37,21.96,29.97,26.76,100.85,70.83
00.09.11,21.96,29.99,26.80,100.85,70.33
00.09.44,21.96,30.00,26.80,100.85,70.78
00.10.18,21.96,30.02,26.80,100.85,70.37
00.10.52,21.96,30.05,26.80,100.85,70.02
00.11.26,21.96,30.05,26.82,100.85,69.61
00.11.59,21.96,30.07,26.80,100.84,69.65
00.12.38,21.96,30.09,26.83,100.84,69.38
00.13.12,21.96,30.11,26.83,100.85,69.20
00.13.46,21.96,30.12,26.91,100.85,68.88
00.14.20,21.96,30.14,26.91,100.84,68.84
00.14.53,21.96,30.15,26.78,100.84,68.90
00.15.27,21.96,30.17,26.89,100.84,68.85
00.16.01,21.96,30.19,26.89,100.84,68.68
00.16.40,21.96,30.21,26.89,100.84,68.80
00.17.14,21.96,30.21,26.91,100.84,68.55
00.17.52,21.96,30.21,26.94,100.84,68.22
00.18.26,21.96,30.22,26.94,100.84,67.92
00.19.00,21.96,30.22,26.89,100.84,68.04
00.19.39,21.96,30.22,26.92,100.84,67.24
00.20.23,21.96,30.23,26.91,100.84,66.99
00.20.56,21.96,30.24,26.91,100.83,67.37
00.21.30,21.96,30.25,26.94,100.84,67.03
00.22.04,21.96,30.26,26.99,100.84,66.91
00.22.38,21.96,30.26,26.89,100.83,66.41
00.23.12,21.96,30.26,26.94,100.83,66.40
00.23.45,21.96,30.27,26.91,100.83,66.49
00.24.19,21.96,30.28,26.98,100.83,66.19
00.24.53,21.96,30.27,26.99,100.83,65.44
00.25.27,21.96,30.27,26.94,100.83,65.45
00.26.01,21.96,30.28,26.98,100.84,65.52
00.26.40,21.96,30.29,26.98,100.84,65.13
00.27.14,21.96,30.29,26.96,100.83,64.92
00.27.47,21.96,30.29,26.94,100.84,64.39
00.28.21,21.96,30.29,26.98,100.84,64.01
00.28.55,21.96,30.29,26.99,100.83,64.16
00.29.30,21.96,30.30,26.99,100.84,64.16
00.30.03,21.96,30.30,26.99,100.84,63.83
00.30.37,21.96,30.32,26.99,100.83,63.24
00.31.11,21.96,30.32,26.99,100.83,63.06
00.31.45,21.96,30.33,26.99,100.83,62.85
00.32.18,21.96,30.34,27.01,100.83,62.33
00.32.52,21.96,30.36,27.07,100.83,62.18
00.33.26,21.96,30.36,27.08,100.83,61.24
00.34.00,21.96,30.37,27.08,100.83,61.49
00.34.39,21.96,30.39,27.07,100.83,61.20
00.35.13,21.96,30.39,27.12,100.83,60.59
00.35.48,21.96,30.41,27.08,100.83,60.04
00.36.22,21.96,30.43,27.14,100.83,59.66
00.36.55,21.96,30.44,27.08,100.83,59.33
00.37.29,21.96,30.46,27.19,100.83,59.44
00.38.03,21.96,30.48,27.16,100.83,58.36
00.38.37,21.96,30.49,27.17,100.83,57.65
