Time(H.M.S),Temp_LM75/oC,Temp_BME680/oC,Temp_NTC/oC,Pressure/kPa,Humidity/%
00.00.08,23.46,35.49,33.44,99.22,36.04
00.00.46,23.46,35.48,33.44,99.23,36.11
00.01.19,23.46,35.48,33.44,99.22,36.19
00.01.53,23.46,35.47,33.46,99.22,36.40
00.02.27,23.46,35.45,33.44,99.22,36.20
00.03.01,23.46,35.45,33.44,99.23,36.08
00.03.35,22.96,35.44,33.41,99.21,36.19
00.04.08,23.46,35.44,33.39,99.21,36.36
00.04.42,23.46,35.43,33.33,99.22,36.46
00.05.16,23.46,35.43,33.43,99.21,36.89
00.05.50,22.96,35.42,33.41,99.21,36.82
00.06.23,23.46,35.41,33.39,99.21,36.87
00.06.57,22.96,35.41,33.39,99.21,36.87
00.07.37,23.46,35.40,33.35,99.21,36.95
00.08.11,22.96,35.39,33.37,99.21,36.93
00.08.45,23.46,35.39,33.37,99.21,37.32
00.09.19,22.96,35.38,33.37,99.21,37.62
00.09.54,23.46,35.37,33.33,99.21,37.58
00.10.28,23.46,35.36,33.37,99.21,37.08
00.11.01,22.96,35.34,33.35,99.21,37.12
00.11.36,22.96,35.35,33.35,99.21,37.10
00.12.09,23.46,35.35,33.39,99.21,37.60
00.12.44,22.96,35.33,33.31,99.21,37.71
00.13.18,23.46,35.32,33.33,99.20,38.39
00.13.52,23.46,35.31,33.31,99.21,38.20
00.14.38,23.46,35.29,33.33,99.20,38.23
00.15.12,22.96,35.29,33.33,99.20,38.27
00.15.46,23.46,35.29,33.35,99.20,37.70
00.16.20,22.96,35.30,33.35,99.20,37.83
00.16.54,22.96,35.28,33.31,99.20,37.81
00.17.28,22.96,35.28,33.27,99.20,38.56
00.18.02,22.96,35.27,33.31,99.20,38.52
00.18.36,22.96,35.26,33.27,99.19,39.40
00.19.10,22.96,35.25,33.27,99.20,39.85
00.19.44,22.96,35.24,33.27,99.19,39.45
00.20.18,22.96,35.23,33.27,99.20,39.35
00.20.52,22.96,35.22,33.29,99.19,39.48
00.21.26,22.96,35.20,33.27,99.19,39.84
00.22.00,22.96,35.20,33.25,99.19,39.94
00.22.34,22.96,35.19,33.27,99.19,39.37
00.23.08,23.46,35.18,33.29,99.20,39.31
00.23.42,22.96,35.17,33.27,99.19,39.76
00.24.16,23.46,35.16,33.29,99.19,40.45
00.24.50,22.96,35.15,33.27,99.18,40.09
00.25.24,22.96,35.14,33.25,99.19,39.33
00.25.58,23.46,35.14,33.29,99.18,39.09
00.26.37,23.46,35.14,33.19,99.18,39.55
00.27.11,22.96,35.13,33.27,99.18,39.85
00.27.44,23.46,35.12,33.23,99.18,40.17
00.28.18,22.96,35.11,33.21,99.17,40.45
00.28.52,22.96,35.10,33.27,99.18,40.33
00.29.26,22.96,35.09,33.19,99.18,40.32
00.30.00,22.96,35.08,33.18,99.16,40.24
00.30.39,22.96,35.07,33.18,99.16,39.24
00.31.13,22.96,35.06,33.18,99.16,39.04
00.31.47,22.96,35.07,33.18,99.16,39.15
00.32.21,22.96,35.07,33.18,99.16,39.45
00.32.55,22.96,35.06,33.18,99.17,39.92
00.33.35,22.96,35.05,33.16,99.16,39.86
00.34.09,22.96,35.05,33.18,99.16,39.07
00.34.43,22.96,35.05,33.16,99.16,39.54
00.35.17,22.96,35.05,33.16,99.16,39.62
00.35.51,22.96,35.04,33.14,99.16,39.89
00.36.25,22.96,35.03,33.18,99.15,40.69
00.36.59,22.96,35.02,33.16,99.15,40.47
00.37.38,22.96,35.01,33.18,99.16,40.22
00.38.17,22.96,34.99,33.18,99.15,39.96
00.38.51,22.96,34.98,33.16,99.15,39.44
00.39.25,22.96,34.98,33.16,99.15,38.93
00.39.59,22.96,34.98,33.08,99.15,39.17
00.40.38,22.96,34.99,33.12,99.14,38.55
00.41.12,22.96,34.99,33.12,99.15,38.92
00.41.45,22.96,35.00,33.08,99.15,38.97
