Time(H.M.S),Temp_LM75/oC,Temp_BME680/oC,Temp_NTC/oC,Pressure/kPa,Humidity/%
00.00.25,21.46,22.93,23.26,100.92,67.62
00.01.03,21.46,22.91,23.21,100.92,67.52
00.01.40,21.46,22.90,23.21,100.92,67.62
00.02.13,21.46,22.87,23.19,100.92,67.64
00.02.47,21.46,22.86,23.15,100.93,67.71
00.03.21,21.46,22.84,23.12,100.93,67.77
00.03.55,21.46,22.83,23.07,100.93,67.81
00.04.48,21.46,22.80,23.08,100.93,67.85
00.05.23,21.46,22.78,23.05,100.93,67.88
00.05.56,21.46,22.76,23.00,100.93,67.97
00.06.31,21.46,22.75,23.03,100.93,67.94
00.07.05,21.46,22.72,23.01,100.93,68.02
00.07.39,21.46,22.71,22.94,100.93,68.10
00.08.13,21.46,22.70,22.96,100.93,68.12
00.08.46,21.46,22.68,22.94,100.93,68.29
00.09.20,21.46,22.66,22.91,100.94,68.25
00.09.54,21.46,22.64,22.88,100.94,68.27
00.10.27,21.96,22.63,22.89,100.94,68.45
00.11.01,21.46,22.62,22.88,100.94,68.50
00.11.41,21.46,22.60,22.86,100.94,68.52
00.12.19,21.96,22.58,22.84,100.94,68.58
00.12.53,21.96,22.56,22.79,100.94,68.74
00.13.26,21.96,22.55,22.77,100.94,68.93
00.14.00,21.46,22.53,22.77,100.94,69.13
00.14.40,21.46,22.52,22.75,100.94,69.31
00.15.14,21.46,22.50,22.72,100.95,69.45
00.15.48,21.46,22.49,22.74,100.95,69.50
00.16.22,21.46,22.47,22.68,100.95,69.67
00.16.56,21.46,22.46,22.65,100.95,69.91
00.17.29,21.46,22.45,22.67,100.95,70.05
00.18.03,21.96,22.43,22.67,100.95,70.11
00.18.42,21.46,22.41,22.61,100.95,70.14
00.19.24,21.96,22.40,22.53,100.96,70.36
00.19.58,21.46,22.39,22.60,100.96,70.37
00.20.31,21.46,22.37,22.60,100.95,70.37
00.21.05,21.46,22.35,22.56,100.95,70.43
00.21.39,21.46,22.34,22.55,100.95,70.53
00.22.12,21.46,22.33,22.58,100.95,70.60
00.22.46,21.46,22.31,22.55,100.95,70.74
00.23.19,21.46,22.31,22.49,100.96,70.86
00.23.53,21.46,22.29,22.51,100.96,70.87
00.24.32,21.46,22.27,22.51,100.96,70.91
00.25.07,21.46,22.26,22.41,100.96,70.89
00.25.40,21.46,22.25,22.44,100.96,70.99
00.26.14,21.46,22.23,22.42,100.96,71.02
00.26.48,21.46,22.22,22.42,100.96,71.08
00.27.22,21.96,22.22,22.34,100.96,71.07
00.27.55,21.46,22.20,22.37,100.96,71.04
00.28.29,21.96,22.19,22.34,100.96,71.01
00.29.02,21.96,22.18,22.34,100.96,71.05
00.29.37,21.46,22.16,22.42,100.96,71.02
00.30.11,21.46,22.16,22.30,100.96,71.06
00.30.44,21.46,22.14,22.30,100.96,71.06
00.31.18,21.96,22.14,22.32,100.96,71.10
00.31.52,21.46,22.12,22.25,100.97,71.08
00.32.25,21.46,22.11,22.25,100.97,71.05
00.32.59,21.46,22.10,22.25,100.97,71.05
00.33.37,21.46,22.08,22.20,100.97,71.07
00.34.11,21.46,22.08,22.22,100.97,71.10
00.34.45,21.46,22.06,22.18,100.97,71.10
00.35.19,21.46,22.06,22.15,100.97,71.11
00.35.52,21.96,22.05,22.16,100.97,71.11
00.36.26,21.46,22.03,22.13,100.97,71.18
00.37.00,21.46,22.02,22.20,100.97,71.24
00.37.39,21.96,22.02,22.08,100.97,71.20
00.38.13,21.46,22.00,22.11,100.97,71.20
00.38.46,21.46,21.98,22.13,100.97,71.22
00.39.20,21.46,21.98,22.09,100.97,71.29
00.39.54,21.46,21.97,22.08,100.97,71.29
00.40.28,21.96,21.95,22.06,100.97,71.29
00.41.02,21.46,21.95,22.08,100.97,71.33
00.41.41,21.46,21.93,22.09,100.97,71.36
00.42.15,21.46,21.93,22.08,100.97,71.37
00.42.53,21.46,21.93,21.99,100.97,71.36
00.43.27,21.46,21.92,21.99,100.98,71.24
00.44.00,21.46,21.92,21.99,100.97,71.09
00.44.40,21.96,21.91,21.99,100.98,71.05
00.45.14,21.46,21.91,21.96,100.98,70.92
00.45.48,21.96,21.91,21.97,100.98,70.85
00.46.22,21.46,21.91,21.97,100.98,70.65
00.46.55,21.46,21.91,21.96,100.98,70.58
00.47.29,21.46,21.92,21.94,100.98,70.48
00.48.03,21.46,21.92,21.96,100.98,70.33
00.48.42,21.46,21.92,21.89,100.98,70.20
00.49.15,21.96,21.91,21.90,100.98,70.06
00.49.49,21.46,21.92,21.89,100.98,69.88
00.50.23,21.46,21.91,21.97,100.98,69.63
00.50.56,21.46,21.92,21.90,100.98,69.43
00.51.30,21.46,21.91,21.90,100.98,69.20
00.52.04,21.46,21.92,21.92,100.98,68.97
00.52.38,21.46,21.92,21.87,100.99,68.75
00.53.11,21.46,21.92,21.89,100.98,68.52
00.53.54,21.96,21.93,21.87,100.98,68.24
00.54.33,21.96,21.93,21.82,100.99,67.97
08.57.26,21.46,20.49,19.61,101.48,62.58
08.58.00,21.46,20.65,19.61,101.48,62.87
08.58.37,21.46,20.68,19.59,101.48,63.54
08.59.11,21.46,20.74,19.61,101.48,62.97
08.59.44,21.46,20.81,19.62,101.48,63.36
09.00.18,20.96,20.90,19.69,101.48,62.74
